mom,20747
tweet,20733
wrong,20719
system,20654
information,20590
york,20480
film,20370
haha,20336
order,20289
history,20277
video,20261
feeling,20254
reason,20241
university,20201
short,20170
easy,20161
question,20158
rather,20135
front,20115
woman,20099
art,20046
members,19965
goes,19932
perfect,19895
beer,19855
sleep,19855
enjoy,19796
thursday,19726
given,19690
rest,19630
market,19623
body,19602
moment,19519
meeting,19495
gave,19480
shit,19469
san,19381
d,19362
guess,19335
living,19334
across,19293
tuesday,19288
south,19281
green,19243
chance,19225
large,19224
points,19177
mother,19167
matter,19165
girls,19159
she's,19131
needed,19122
bill,19054
n,19022
especially,18963
child,18953
haven't,18944
sorry,18919
media,18892
parents,18850
fall,18800
eat,18793
played,18758
among,18695
felt,18694
ok,18679
town,18668
final,18609
building,18589
death,18557
coach,18481
decided,18398
single,18271
pick,18263
fans,18239
cause,18197
couldn't,18174
known,18116
wants,18111
taken,18085
starting,18070
states,17965
near,17936
sweet,17928
lead,17910
officials,17902
glad,17883
fire,17862
north,17859
store,17858
march,17801
walk,17755
spring,17735
break,17734
available,17664
learn,17567
self,17498
tax,17495
shot,17492
welcome,17427
although,17420
write,17416
visit,17396
federal,17357
won,17355
yourself,17352
wednesday,17331
within,17328
tv,17328
added,17281
players,17281
gone,17235
district,17212
online,17188
report,17172
possible,17171
director,17099
drive,17091
tried,17057
west,17041
happen,17038
field,17003
dinner,16952
understand,16950
bed,16940
s,16938
card,16920
obama,16910
rock,16883
crazy,16866
inside,16855
works,16795
record,16753
department,16741
hair,16719
son,16705
lives,16694
sense,16607
level,16597
process,16576
major,16557
turned,16550
round,16474
seeing,16463
loved,16435
we'll,16432
super,16429
site,16417
boy,16403
eyes,16399
space,16377
paper,16315
issue,16302
strong,16200
spent,16184
sounds,16166
church,16156
air,16151
per,16101
low,16085
takes,16062
worth,16002
happened,15916
christmas,15887
funny,15826
looked,15822
age,15756
we've,15748
send,15736
worked,15716
general,15705
you'll,15702
trip,15698
wonderful,15695
facebook,15646
star,15638
wouldn't,15577
middle,15572
email,15561
